competencia,cod_municipio,CNES,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,leitos,leitos_sus,leitos_uti,leitos_uti_sus,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS,flag_inconsistencia
202510,221100,2323338,E,07,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,174,174,20,20,20,20,0,0,0,0,0,0,0,0,0
202510,221100,2323346,E,07,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221100,2323354,M,15,UNIDADE MISTA,1155,HOSPITAL_PÚBLICO,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221100,2323397,E,07,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,263,253,44,44,14,14,0,0,30,30,0,0,0,0,0
202510,221100,2323427,M,15,UNIDADE MISTA,1155,HOSPITAL_PÚBLICO,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221100,2323443,M,05,HOSPITAL GERAL,1155,HOSPITAL_PÚBLICO,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221100,2323451,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,70,70,10,10,10,10,0,0,0,0,0,0,0,0,0
202510,221100,2323478,M,05,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221100,2323524,M,05,HOSPITAL GERAL,1155,HOSPITAL_PÚBLICO,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220550,2323540,D,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220790,2323559,M,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,54,50,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220070,2323575,D,15,UNIDADE MISTA,1023,HOSPITAL_PÚBLICO,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220370,2323583,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220650,2323591,D,15,UNIDADE MISTA,1031,HOSPITAL_PÚBLICO,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220620,2323605,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221170,2323613,D,05,HOSPITAL GERAL,2240,HOSPITAL_PRIVADO,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220880,2323621,D,05,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,221120,2323680,E,05,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220720,2323699,D,15,UNIDADE MISTA,1031,HOSPITAL_PÚBLICO,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220900,2323702,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,220490,2323885,D,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
